,task_id,task_description,priority,deadline,assigned_to,status,created_at,estimated_hours,actual_hours,task_type
21,TASK_63128,Schedule meeting with stakeholders next week.,Medium,2025-07-20,user_86,Blocked,2025-05-31,6.33,5.25,Meeting
22,TASK_85080,High priority task: Resolve server outage now.,Critical,2025-07-06,user_39,To Do,2025-05-21,2.78,6.3,Support
23,TASK_40704,Code review required urgently for merge.,High,2025-07-12,user_89,In Progress,2025-06-04,14.74,17.69,Meeting
24,TASK_66258,Clean up old branches from repository.,Low,2025-07-30,user_7,In Progress,2025-06-10,12.15,11.47,Other
25,TASK_33599,Enhance logging for future debugging.,Low,2025-07-25,user_84,Done,2025-06-15,10.06,8.93,Debugging
26,TASK_80919,URGENT: System failure requires immediate attention.,Critical,2025-06-27,user_64,In Progress,2025-06-17,7.15,5.27,Debugging
27,TASK_76406,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-08-09,user_26,Blocked,2025-05-31,7.67,9.81,Debugging
28,TASK_96540,Update user avatars with new icons.,Low,2025-08-03,user_26,In Progress,2025-05-23,11.74,14.65,Other
29,TASK_71612,Prepare for upcoming product launch this week.,High,2025-08-10,user_29,In Progress,2025-05-20,12.76,13.99,Other
30,TASK_77085,Coordinate with design team on layout feedback.,Medium,2025-06-30,user_77,Blocked,2025-06-08,6.43,8.4,Development
31,TASK_32104,Code review required urgently for merge.,High,2025-08-12,user_74,Done,2025-06-15,3.89,4.74,Meeting
32,TASK_38652,Clean up old branches from repository.,Low,2025-08-15,user_54,To Do,2025-05-28,4.33,2.71,Other
33,TASK_71845,Critical bug in production impacting all users.,Critical,2025-07-20,user_5,Blocked,2025-05-23,3.29,2.71,Debugging
34,TASK_24304,URGENT: System failure requires immediate attention.,Critical,2025-07-04,user_5,Blocked,2025-06-04,3.15,5.29,Debugging
35,TASK_22677,Coordinate with design team on layout feedback.,Medium,2025-08-11,user_64,Blocked,2025-06-14,7.13,8.87,Development
36,TASK_32983,Conduct mid-cycle review of project progress.,Medium,2025-08-08,,Done,2025-05-25,3.01,1.81,Meeting
37,TASK_75110,Database optimization needed before backup.,High,2025-06-29,,Done,2025-06-16,9.58,9.39,Other
38,TASK_11555,Critical bug in production impacting all users.,Critical,2025-07-19,user_3,To Do,2025-06-02,12.39,11.17,Debugging
39,TASK_34563,Conduct mid-cycle review of project progress.,Medium,2025-07-13,user_64,Done,2025-06-10,5.78,7.61,Meeting
40,TASK_60871,Critical bug in production impacting all users.,Critical,2025-07-17,user_37,Blocked,2025-05-22,3.14,3.49,Debugging
41,TASK_22095,Refactor legacy module as per guidelines.,Medium,2025-07-15,user_40,To Do,2025-05-29,7.14,9.01,Development
42,TASK_40986,Conduct mid-cycle review of project progress.,Medium,2025-08-03,user_85,Done,2025-06-12,2.32,0.81,Meeting
43,TASK_57883,Coordinate with design team on layout feedback.,Medium,2025-06-20,user_5,To Do,2025-05-27,13.56,14.49,Development
44,TASK_48042,High priority task: Resolve server outage now.,,2025-07-10,,To Do,2025-06-17,5.69,7.28,Support
45,TASK_28809,Critical bug in production impacting all users.,Critical,2025-08-06,user_56,Blocked,2025-06-03,13.16,12.28,Debugging
46,TASK_80512,Schedule meeting with stakeholders next week.,Medium,2025-06-21,user_53,To Do,2025-05-29,14.74,13.41,Meeting
47,TASK_93903,Update user avatars with new icons.,Low,2025-06-30,user_85,Done,2025-06-10,3.67,5.88,Other
48,TASK_44676,Database optimization needed before backup.,High,2025-06-22,user_58,In Progress,2025-06-02,3.68,6.77,Other
49,TASK_37437,Schedule meeting with stakeholders next week.,Medium,2025-08-06,user_78,To Do,2025-06-07,15.88,14.47,Meeting
50,TASK_82965,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-08-16,user_59,To Do,2025-06-06,6.34,6.58,Debugging
51,TASK_19399,Enhance logging for future debugging.,Low,2025-07-22,user_27,In Progress,2025-06-15,3.59,2.19,Debugging
52,TASK_27583,Database optimization needed before backup.,High,2025-08-15,user_88,Done,2025-06-06,4.43,4.02,Other
53,TASK_28753,Clean up old branches from repository.,,2025-07-03,user_39,Done,2025-05-31,15.53,16.06,Other
54,TASK_19821,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-06-24,user_45,In Progress,2025-06-10,14.86,13.29,Debugging
55,TASK_72065,Clean up old branches from repository.,Low,2025-08-04,user_1,To Do,2025-05-30,6.99,9.83,Other
56,TASK_50863,Client report must be submitted by evening.,High,2025-06-26,user_64,In Progress,2025-05-28,13.43,11.98,Other
57,TASK_17828,Client report must be submitted by evening.,High,2025-06-20,user_39,Done,2025-05-21,12.47,11.59,Other
58,TASK_99057,Immediate action required: Payment system down.,Critical,2025-07-25,user_37,To Do,2025-05-23,6.31,5.84,Development
59,TASK_62803,Update user avatars with new icons.,Low,2025-07-08,user_76,To Do,2025-06-16,15.11,15.57,Other
60,TASK_76964,Conduct mid-cycle review of project progress.,Medium,2025-08-06,user_3,In Progress,2025-05-20,5.59,7.37,Meeting
61,TASK_42949,Database optimization needed before backup.,High,2025-08-09,user_10,To Do,2025-05-28,9.79,12.94,Other
62,TASK_36854,Enhance logging for future debugging.,Low,2025-06-27,user_68,To Do,2025-05-31,4.92,6.04,Debugging
63,TASK_75374,Schedule meeting with stakeholders next week.,Medium,2025-07-15,user_14,To Do,2025-06-05,11.81,15.51,Meeting
64,TASK_28183,Immediate action required: Payment system down.,Critical,2025-06-30,user_7,In Progress,2025-06-17,14.54,16.59,Development
65,TASK_94568,Database optimization needed before backup.,High,2025-06-27,user_62,In Progress,2025-05-22,4.68,4.66,Other
66,TASK_80641,Database optimization needed before backup.,High,2025-07-11,user_69,Done,2025-06-17,12.45,16.37,Other
67,TASK_28867,Task needs completion before end of the day.,High,2025-07-21,user_40,To Do,2025-06-15,13.36,13.89,Other
68,TASK_31556,Immediate action required: Payment system down.,Critical,2025-07-20,user_65,In Progress,2025-06-16,6.03,4.28,Development
69,TASK_76326,High priority task: Resolve server outage now.,Critical,2025-07-21,user_17,To Do,2025-06-12,10.28,13.85,Support
70,TASK_98208,Clean up old branches from repository.,Low,2025-06-27,user_16,Blocked,2025-06-04,7.69,9.23,Other
71,TASK_53807,Immediate action required: Payment system down.,,2025-07-01,user_83,To Do,2025-06-03,8.65,8.23,Development
72,TASK_89951,Schedule meeting with stakeholders next week.,Medium,2025-08-01,user_37,To Do,2025-05-26,7.97,6.9,Meeting
73,TASK_95298,Task needs completion before end of the day.,High,2025-08-01,user_16,Done,2025-05-25,9.32,7.34,Other
74,TASK_12332,Refactor legacy module as per guidelines.,Medium,2025-08-17,user_83,To Do,2025-05-31,11.29,14.82,Development
75,TASK_72230,Critical bug in production impacting all users.,Critical,2025-07-22,user_92,Done,2025-06-18,5.2,8.15,Debugging
76,TASK_65538,Database optimization needed before backup.,High,2025-08-15,user_74,To Do,2025-06-11,15.44,14.59,Other
77,TASK_82738,Update user avatars with new icons.,Low,2025-08-01,user_67,In Progress,2025-06-01,15.86,15.42,Other
78,TASK_64514,Complete documentation for current sprint.,Medium,2025-08-17,,Blocked,2025-06-15,6.03,4.42,Documentation
79,TASK_95032,Task needs completion before end of the day.,High,2025-07-17,user_68,In Progress,2025-05-31,6.54,5.27,Other
80,TASK_87857,Conduct mid-cycle review of project progress.,Medium,2025-06-26,user_61,Done,2025-05-24,13.05,16.51,Meeting
81,TASK_77637,Schedule meeting with stakeholders next week.,Medium,2025-08-04,user_90,Blocked,2025-05-26,10.31,9.45,Meeting
82,TASK_53203,Client report must be submitted by evening.,High,2025-06-30,user_100,To Do,2025-05-30,2.79,4.19,Other
83,TASK_84310,Coordinate with design team on layout feedback.,Medium,2025-08-15,user_78,Blocked,2025-05-29,7.9,8.51,Development
84,TASK_90911,Client report must be submitted by evening.,High,2025-08-01,user_36,In Progress,2025-06-02,4.89,7.45,Other
85,TASK_90661,Clean up old branches from repository.,Low,2025-07-25,user_23,In Progress,2025-06-07,5.66,8.85,Other
86,TASK_58818,High priority task: Resolve server outage now.,Critical,2025-06-25,user_27,In Progress,2025-06-04,3.02,4.09,Support
87,TASK_14599,Enhance logging for future debugging.,Low,2025-07-25,user_55,In Progress,2025-05-22,4.9,4.68,Debugging
88,TASK_76219,High priority task: Resolve server outage now.,Critical,2025-07-04,user_8,In Progress,2025-06-16,9.47,12.19,Support
89,TASK_77550,Refactor legacy module as per guidelines.,Medium,2025-07-14,user_13,Done,2025-06-04,7.99,10.97,Development
90,TASK_17693,Refactor legacy module as per guidelines.,Medium,2025-07-23,user_83,To Do,2025-06-09,7.23,5.87,Development
91,TASK_26711,Update user avatars with new icons.,Low,2025-08-16,user_17,Done,2025-06-18,14.17,17.29,Other
92,TASK_92641,Schedule meeting with stakeholders next week.,Medium,2025-08-04,user_98,Blocked,2025-05-21,15.19,18.26,Meeting
93,TASK_67401,Conduct mid-cycle review of project progress.,Medium,2025-06-25,,Done,2025-05-25,10.35,11.76,Meeting
94,TASK_15001,Critical bug in production impacting all users.,Critical,2025-06-26,user_13,To Do,2025-06-07,10.02,9.59,Debugging
95,TASK_86647,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-07-16,user_62,In Progress,2025-05-21,11.93,10.45,Debugging
96,TASK_40066,Conduct mid-cycle review of project progress.,Medium,2025-07-21,user_35,Done,2025-06-08,15.34,19.24,Meeting
97,TASK_51914,URGENT: System failure requires immediate attention.,Critical,2025-07-15,user_81,To Do,2025-06-02,9.22,11.62,Debugging
98,TASK_40416,Database optimization needed before backup.,High,2025-08-14,user_13,To Do,2025-05-21,6.03,7.94,Other
99,TASK_85108,Code review required urgently for merge.,High,2025-08-15,user_1,Blocked,2025-06-17,8.26,9.33,Meeting
100,TASK_30198,Immediate action required: Payment system down.,Critical,2025-07-23,user_53,Done,2025-05-25,13.01,16.5,Development
101,TASK_73491,Immediate action required: Payment system down.,Critical,2025-07-01,user_50,Blocked,2025-06-03,3.5,3.54,Development
102,TASK_23774,Prepare for upcoming product launch this week.,High,2025-08-10,user_20,Done,2025-06-07,11.58,14.46,Other
103,TASK_12767,Complete documentation for current sprint.,Medium,2025-07-06,user_53,Blocked,2025-06-01,5.91,5.25,Documentation
104,TASK_74109,Clean up old branches from repository.,Low,2025-07-23,user_41,In Progress,2025-05-23,14.83,15.98,Other
105,TASK_17582,Schedule meeting with stakeholders next week.,Medium,2025-08-07,user_78,Done,2025-05-27,5.79,7.86,Meeting
106,TASK_62410,Refactor legacy module as per guidelines.,Medium,2025-07-04,user_51,In Progress,2025-05-28,3.84,3.23,Development
107,TASK_79786,Improve UI consistency across all pages.,Low,2025-08-08,user_86,In Progress,2025-06-17,15.58,16.66,Development
108,TASK_22075,Complete documentation for current sprint.,Medium,2025-08-05,user_23,Done,2025-05-23,14.35,16.13,Documentation
109,TASK_97113,Emergency: Security breach needs to be fixed ASAP.,,2025-08-11,user_74,To Do,2025-06-06,4.51,5.99,Debugging
110,TASK_56649,Complete documentation for current sprint.,Medium,2025-08-09,user_18,Blocked,2025-05-22,8.72,10.3,Documentation
111,TASK_57160,Refactor legacy module as per guidelines.,Medium,2025-06-25,user_13,To Do,2025-06-06,9.97,12.85,Development
112,TASK_97825,Improve UI consistency across all pages.,Low,2025-06-30,user_44,Blocked,2025-05-24,8.28,10.96,Development
113,TASK_77004,Code review required urgently for merge.,High,2025-08-16,user_18,In Progress,2025-05-29,8.27,10.87,Meeting
114,TASK_72292,Refactor legacy module as per guidelines.,Medium,2025-07-01,user_74,Done,2025-05-27,9.37,12.62,Development
115,TASK_41304,Task needs completion before end of the day.,High,2025-07-09,user_5,Done,2025-06-15,6.1,7.68,Other
116,TASK_62692,URGENT: System failure requires immediate attention.,Critical,2025-08-08,user_93,Blocked,2025-06-08,10.07,9.18,Debugging
117,TASK_23583,Enhance logging for future debugging.,Low,2025-07-22,user_15,In Progress,2025-06-11,7.45,7.19,Debugging
118,TASK_28724,Immediate action required: Payment system down.,Critical,2025-07-31,user_94,Done,2025-05-26,12.41,11.12,Development
119,TASK_32813,Critical bug in production impacting all users.,Critical,2025-08-08,user_5,Blocked,2025-06-06,10.44,9.8,Debugging
120,TASK_82909,Critical bug in production impacting all users.,Critical,2025-06-25,user_27,Done,2025-05-28,2.35,4.55,Debugging
121,TASK_47739,Critical bug in production impacting all users.,Critical,2025-08-15,user_57,Blocked,2025-06-16,6.6,9.16,Debugging
122,TASK_92132,Conduct mid-cycle review of project progress.,Medium,2025-07-09,,To Do,2025-05-26,2.08,4.72,Meeting
123,TASK_42051,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-07-16,user_56,Done,2025-06-03,8.17,9.33,Debugging
124,TASK_46757,Refactor legacy module as per guidelines.,Medium,2025-07-27,user_66,In Progress,2025-06-18,12.83,16.79,Development
125,TASK_22699,Schedule meeting with stakeholders next week.,Medium,2025-07-14,user_68,In Progress,2025-05-31,11.29,9.88,Meeting
126,TASK_41395,Update user avatars with new icons.,Low,2025-07-10,user_79,In Progress,2025-06-09,9.62,12.25,Other
127,TASK_84731,Update user avatars with new icons.,Low,2025-08-11,user_36,In Progress,2025-06-13,5.54,4.02,Other
128,TASK_96475,High priority task: Resolve server outage now.,Critical,2025-08-05,user_3,In Progress,2025-05-28,13.93,16.66,Support
129,TASK_59006,Refactor legacy module as per guidelines.,Medium,2025-07-05,user_19,Done,2025-06-01,6.29,4.46,Development
130,TASK_85354,Immediate action required: Payment system down.,Critical,2025-07-23,user_80,Done,2025-05-28,3.13,1.97,Development
131,TASK_52218,URGENT: System failure requires immediate attention.,Critical,2025-06-28,user_50,In Progress,2025-05-25,5.49,6.37,Debugging
132,TASK_58987,Enhance logging for future debugging.,Low,2025-07-17,user_17,To Do,2025-05-31,6.06,7.53,Debugging
133,TASK_97934,Database optimization needed before backup.,High,2025-07-26,user_39,Done,2025-06-14,6.7,8.19,Other
134,TASK_93976,Schedule meeting with stakeholders next week.,Medium,2025-06-24,user_72,Blocked,2025-06-10,14.77,15.25,Meeting
135,TASK_74991,Clean up old branches from repository.,Low,2025-08-17,user_80,Done,2025-06-16,5.54,4.12,Other
136,TASK_14187,Clean up old branches from repository.,Low,2025-06-30,user_15,To Do,2025-05-21,10.14,13.15,Other
137,TASK_72353,Immediate action required: Payment system down.,Critical,2025-07-14,user_10,Blocked,2025-06-01,4.82,7.58,Development
138,TASK_16238,Coordinate with design team on layout feedback.,Medium,2025-08-05,user_46,Done,2025-06-14,2.45,3.01,Development
139,TASK_41329,Update user avatars with new icons.,Low,2025-07-04,user_39,To Do,2025-06-12,5.11,4.06,Other
140,TASK_40037,Task needs completion before end of the day.,High,2025-07-18,user_43,To Do,2025-05-29,4.85,3.93,Other
141,TASK_86071,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-06-26,user_85,In Progress,2025-05-26,15.84,15.55,Debugging
142,TASK_39906,Organize code comments and improve readability.,Low,2025-07-24,user_62,Done,2025-05-23,4.42,6.15,Other
143,TASK_71476,Update user avatars with new icons.,,2025-08-01,user_44,In Progress,2025-05-29,15.42,16.21,Other
144,TASK_72564,Refactor legacy module as per guidelines.,Medium,2025-08-05,user_66,To Do,2025-06-17,8.92,8.45,Development
145,TASK_22488,URGENT: System failure requires immediate attention.,Critical,2025-08-07,user_81,Blocked,2025-06-08,7.38,7.77,Debugging
146,TASK_14098,Clean up old branches from repository.,Low,2025-07-11,user_22,In Progress,2025-06-14,4.47,8.08,Other
147,TASK_87805,Complete documentation for current sprint.,Medium,2025-08-17,user_57,In Progress,2025-06-09,13.48,15.31,Documentation
148,TASK_58791,Critical bug in production impacting all users.,Critical,2025-06-27,user_35,To Do,2025-06-01,13.23,12.15,Debugging
149,TASK_29036,Schedule meeting with stakeholders next week.,Medium,2025-07-28,user_17,Blocked,2025-06-06,6.48,9.53,Meeting
150,TASK_22807,Client report must be submitted by evening.,High,2025-07-21,user_18,To Do,2025-05-21,7.95,10.85,Other
151,TASK_18512,Organize code comments and improve readability.,Low,2025-07-24,user_48,Done,2025-06-07,9.42,8.5,Other
152,TASK_68159,Client report must be submitted by evening.,High,2025-06-21,user_74,In Progress,2025-05-29,8.92,12.88,Other
153,TASK_36490,Immediate action required: Payment system down.,Critical,2025-08-07,user_88,In Progress,2025-06-09,7.67,6.63,Development
154,TASK_72726,Task needs completion before end of the day.,,2025-07-17,user_63,To Do,2025-05-22,3.41,4.89,Other
155,TASK_70880,Schedule meeting with stakeholders next week.,Medium,2025-08-10,user_34,Done,2025-05-27,5.84,6.73,Meeting
156,TASK_53549,Code review required urgently for merge.,High,2025-08-07,user_4,In Progress,2025-06-18,2.12,3.46,Meeting
157,TASK_50571,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-06-20,user_11,Blocked,2025-05-25,6.75,9.69,Debugging
158,TASK_60106,High priority task: Resolve server outage now.,Critical,2025-06-21,user_66,Blocked,2025-06-02,11.44,10.09,Support
159,TASK_86934,Refactor legacy module as per guidelines.,Medium,2025-07-18,user_56,Done,2025-06-16,14.85,14.62,Development
160,TASK_75690,Improve UI consistency across all pages.,Low,2025-07-26,user_81,To Do,2025-05-22,9.05,7.17,Development
161,TASK_92720,Refactor legacy module as per guidelines.,,2025-08-09,user_37,In Progress,2025-06-17,9.59,11.02,Development
162,TASK_88747,Schedule meeting with stakeholders next week.,Medium,2025-07-07,user_13,To Do,2025-06-02,3.81,6.76,Meeting
163,TASK_90486,Critical bug in production impacting all users.,Critical,2025-08-04,user_63,Blocked,2025-06-04,10.48,9.78,Debugging
164,TASK_35449,Clean up old branches from repository.,Low,2025-08-13,user_75,Blocked,2025-05-28,11.26,10.84,Other
165,TASK_51242,Refactor legacy module as per guidelines.,Medium,2025-07-07,user_9,Done,2025-06-12,4.59,6.2,Development
166,TASK_65542,Code review required urgently for merge.,,2025-08-12,user_47,To Do,2025-06-13,9.77,8.42,Meeting
167,TASK_72974,Critical bug in production impacting all users.,Critical,2025-06-19,user_84,To Do,2025-06-13,13.37,16.64,Debugging
168,TASK_34844,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-06-19,user_21,Done,2025-05-30,11.46,12.12,Debugging
169,TASK_79300,Code review required urgently for merge.,High,2025-06-22,user_64,In Progress,2025-05-30,13.75,17.07,Meeting
170,TASK_98320,Coordinate with design team on layout feedback.,Medium,2025-07-26,user_81,In Progress,2025-05-24,11.97,12.63,Development
171,TASK_54629,Schedule meeting with stakeholders next week.,Medium,2025-06-25,user_82,Blocked,2025-06-06,8.69,10.11,Meeting
172,TASK_46947,Critical bug in production impacting all users.,Critical,2025-07-29,,In Progress,2025-05-25,13.95,14.28,Debugging
173,TASK_84429,Prepare for upcoming product launch this week.,High,2025-08-16,user_70,In Progress,2025-06-18,5.64,6.47,Other
174,TASK_28847,Code review required urgently for merge.,High,2025-07-22,user_66,Blocked,2025-05-20,11.31,11.98,Meeting
175,TASK_34035,Schedule meeting with stakeholders next week.,Medium,2025-07-24,user_5,To Do,2025-05-20,2.89,2.08,Meeting
176,TASK_20076,Prepare for upcoming product launch this week.,High,2025-07-28,user_54,Done,2025-06-13,4.58,3.48,Other
177,TASK_95871,Schedule meeting with stakeholders next week.,Medium,2025-08-03,user_2,In Progress,2025-06-16,9.82,11.4,Meeting
178,TASK_64932,Organize code comments and improve readability.,Low,2025-07-25,user_77,In Progress,2025-06-05,14.38,17.24,Other
179,TASK_57618,Organize code comments and improve readability.,Low,2025-06-21,user_48,In Progress,2025-06-05,13.83,13.59,Other
180,TASK_38086,Task needs completion before end of the day.,High,2025-06-30,user_18,Blocked,2025-05-28,7.14,7.45,Other
181,TASK_59129,Immediate action required: Payment system down.,Critical,2025-07-08,user_73,Done,2025-06-01,11.67,12.73,Development
182,TASK_58233,Refactor legacy module as per guidelines.,Medium,2025-07-23,user_9,Done,2025-06-16,15.31,15.19,Development
183,TASK_82045,Schedule meeting with stakeholders next week.,Medium,2025-06-19,user_41,Blocked,2025-06-05,4.04,5.33,Meeting
184,TASK_52333,Critical bug in production impacting all users.,Critical,2025-08-06,user_96,To Do,2025-05-21,2.01,2.4,Debugging
185,TASK_88221,Schedule meeting with stakeholders next week.,Medium,2025-07-24,,Done,2025-05-25,14.12,14.11,Meeting
186,TASK_99534,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-08-11,user_13,To Do,2025-05-23,13.7,14.03,Debugging
187,TASK_50350,Client report must be submitted by evening.,High,2025-08-11,user_11,Done,2025-06-12,3.85,7.81,Other
188,TASK_12723,URGENT: System failure requires immediate attention.,Critical,2025-08-14,user_24,Blocked,2025-06-18,7.78,10.46,Debugging
189,TASK_63453,Complete documentation for current sprint.,Medium,2025-07-11,user_83,Blocked,2025-05-21,10.78,9.29,Documentation
190,TASK_57600,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-07-20,user_65,In Progress,2025-06-07,4.09,6.37,Debugging
191,TASK_65284,Organize code comments and improve readability.,Low,2025-06-23,user_1,Done,2025-05-20,3.78,5.09,Other
192,TASK_48372,Code review required urgently for merge.,,2025-07-07,,To Do,2025-05-26,10.86,11.9,Meeting
193,TASK_44883,Clean up old branches from repository.,Low,2025-07-03,user_17,In Progress,2025-05-27,2.14,5.49,Other
194,TASK_15725,Task needs completion before end of the day.,High,2025-08-10,user_30,In Progress,2025-06-16,9.45,9.28,Other
195,TASK_58515,High priority task: Resolve server outage now.,Critical,2025-08-12,user_50,Blocked,2025-05-30,13.37,14.61,Support
196,TASK_45798,Organize code comments and improve readability.,Low,2025-08-01,user_64,Done,2025-05-21,5.54,8.71,Other
197,TASK_83950,Code review required urgently for merge.,High,2025-08-10,user_75,To Do,2025-05-21,8.78,11.74,Meeting
198,TASK_60024,Conduct mid-cycle review of project progress.,Medium,2025-08-01,user_71,In Progress,2025-05-24,11.07,12.17,Meeting
199,TASK_93829,Critical bug in production impacting all users.,Critical,2025-07-27,user_61,To Do,2025-06-16,8.11,8.15,Debugging
200,TASK_42155,Prepare for upcoming product launch this week.,High,2025-07-24,user_6,To Do,2025-06-02,10.11,12.79,Other
201,TASK_77948,Enhance logging for future debugging.,Low,2025-06-21,user_46,In Progress,2025-06-16,5.46,5.82,Debugging
202,TASK_52326,Enhance logging for future debugging.,,2025-08-11,user_4,In Progress,2025-06-10,11.58,10.12,Debugging
203,TASK_43452,Enhance logging for future debugging.,Low,2025-07-24,user_31,In Progress,2025-06-11,13.49,11.53,Debugging
204,TASK_69572,Code review required urgently for merge.,High,2025-06-30,user_74,Done,2025-05-28,15.06,15.71,Meeting
205,TASK_71173,Code review required urgently for merge.,High,2025-08-07,user_75,To Do,2025-06-07,11.41,14.91,Meeting
206,TASK_57958,URGENT: System failure requires immediate attention.,Critical,2025-07-06,user_75,Blocked,2025-05-25,2.52,5.27,Debugging
207,TASK_25219,Complete documentation for current sprint.,,2025-07-06,user_38,Blocked,2025-05-24,13.53,11.88,Documentation
208,TASK_36687,Task needs completion before end of the day.,High,2025-07-04,user_61,To Do,2025-06-09,13.42,12.69,Other
209,TASK_55174,URGENT: System failure requires immediate attention.,Critical,2025-08-17,user_49,Blocked,2025-05-26,4.35,6.52,Debugging
210,TASK_42290,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-07-29,user_23,To Do,2025-05-24,9.04,10.23,Debugging
211,TASK_15659,Complete documentation for current sprint.,Medium,2025-08-02,user_48,Done,2025-05-25,6.43,7.94,Documentation
212,TASK_32283,Improve UI consistency across all pages.,Low,2025-07-20,user_53,Blocked,2025-06-15,5.79,4.38,Development
213,TASK_23329,Refactor legacy module as per guidelines.,Medium,2025-07-13,user_72,Done,2025-06-07,11.48,12.05,Development
214,TASK_54570,Schedule meeting with stakeholders next week.,Medium,2025-07-05,user_95,To Do,2025-06-12,15.43,13.54,Meeting
215,TASK_36214,Prepare for upcoming product launch this week.,High,2025-07-27,,In Progress,2025-06-02,14.8,14.07,Other
216,TASK_85406,Client report must be submitted by evening.,High,2025-06-26,user_45,Blocked,2025-06-11,10.43,8.85,Other
217,TASK_58247,Conduct mid-cycle review of project progress.,Medium,2025-07-10,user_65,Done,2025-06-04,4.77,8.2,Meeting
218,TASK_68644,URGENT: System failure requires immediate attention.,Critical,2025-07-11,user_9,In Progress,2025-05-25,13.24,16.49,Debugging
219,TASK_87441,High priority task: Resolve server outage now.,Critical,2025-07-23,user_51,In Progress,2025-05-25,7.47,6.36,Support
220,TASK_12954,Enhance logging for future debugging.,Low,2025-06-22,user_82,Done,2025-06-14,6.45,5.67,Debugging
221,TASK_59244,High priority task: Resolve server outage now.,Critical,2025-06-22,user_5,Blocked,2025-06-10,2.69,2.6,Support
222,TASK_84358,Task needs completion before end of the day.,High,2025-06-22,user_86,Blocked,2025-05-24,14.42,16.77,Other
223,TASK_42537,Immediate action required: Payment system down.,Critical,2025-07-23,user_84,To Do,2025-05-28,10.82,11.24,Development
224,TASK_12205,Update user avatars with new icons.,Low,2025-08-11,user_100,Done,2025-05-30,3.08,4.25,Other
225,TASK_92341,Coordinate with design team on layout feedback.,Medium,2025-07-22,user_58,Done,2025-06-02,13.7,15.64,Development
226,TASK_82672,Code review required urgently for merge.,High,2025-08-17,user_45,Blocked,2025-05-24,2.44,1.43,Meeting
227,TASK_41321,Database optimization needed before backup.,High,2025-07-07,user_55,Blocked,2025-05-21,10.67,11.16,Other
