task_id,task_description,priority,deadline,assigned_to,status,created_at,estimated_hours,actual_hours
TASK_50968,URGENT: System failure requires immediate attention.,Critical,2025-07-11,user_59,To Do,2025-06-13,6.87,10.5
TASK_11072,Task needs completion before end of the day.,High,2025-07-18,user_9,In Progress,2025-06-07,9.41,8.15
TASK_10109,Prepare for upcoming product launch this week.,High,2025-08-09,user_24,To Do,2025-05-21,12.05,14.4
TASK_97934,Database optimization needed before backup.,High,2025-07-26,user_39,In Progress,2025-06-14,6.7,8.19
TASK_41697,Clean up old branches from repository.,Low,2025-08-13,user_23,To Do,2025-05-25,11.49,14.01
TASK_43413,Task needs completion before end of the day.,High,2025-08-03,user_40,In Progress,2025-05-28,15.11,15.34
TASK_65434,Coordinate with design team on layout feedback.,Medium,2025-07-14,user_94,To Do,2025-06-11,11.13,10.65
TASK_49234,Critical bug in production impacting all users.,Critical,2025-07-30,user_74,In Progress,2025-06-03,11.99,14.25
TASK_33795,Prepare for upcoming product launch this week.,High,2025-08-12,user_97,To Do,2025-06-15,12.95,15.98
TASK_24786,Complete documentation for current sprint.,Medium,2025-07-26,user_73,In Progress,2025-05-20,2.75,5.19
TASK_72522,Schedule meeting with stakeholders next week.,Medium,2025-08-08,user_25,Completed,2025-06-14,8.52,9.04
TASK_14636,Immediate action required: Payment system down.,Critical,2025-06-24,user_74,Completed,2025-06-10,12.35,13.3
TASK_51032,Improve UI consistency across all pages.,Low,2025-07-21,user_37,In Progress,2025-06-14,11.48,13.4
TASK_64243,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-07-09,user_32,In Progress,2025-06-11,6.61,8.68
TASK_26869,Update user avatars with new icons.,Low,2025-07-17,user_8,To Do,2025-05-23,9.76,12.62
TASK_11288,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-06-21,user_70,To Do,2025-06-11,11.88,13.48
TASK_11482,Database optimization needed before backup.,High,2025-07-27,user_28,Completed,2025-06-05,12.5,10.87
TASK_90162,Client report must be submitted by evening.,,2025-07-04,,Completed,2025-06-15,8.25,10.62
TASK_89466,High priority task: Resolve server outage now.,Critical,2025-07-09,user_36,To Do,2025-06-06,9.66,7.95
TASK_67740,Immediate action required: Payment system down.,Critical,2025-08-03,user_56,In Progress,2025-05-24,9.94,10.33
TASK_88172,Task needs completion before end of the day.,High,2025-08-05,user_52,To Do,2025-06-08,5.23,7.18
TASK_49853,Clean up old branches from repository.,Low,2025-07-09,user_62,To Do,2025-05-22,13.12,13.45
TASK_17766,,High,2025-07-02,user_18,Completed,2025-05-20,7.11,9.29
TASK_38130,Organize code comments and improve readability.,Low,2025-07-20,user_39,In Progress,2025-05-28,13.31,14.05
TASK_47010,Code review required urgently for merge.,High,2025-08-07,user_59,In Progress,2025-05-25,5.45,8.03
TASK_11639,Improve UI consistency across all pages.,Low,2025-06-24,user_76,In Progress,2025-05-21,14.66,12.82
TASK_72857,Prepare for upcoming product launch this week.,High,2025-07-07,user_38,To Do,2025-06-09,3.64,1.8
TASK_90730,Improve UI consistency across all pages.,,2025-06-19,,In Progress,2025-06-16,12.71,11.98
TASK_35016,Database optimization needed before backup.,High,2025-06-25,user_81,In Progress,2025-05-27,13.62,14.58
TASK_59453,Code review required urgently for merge.,High,2025-07-01,user_59,To Do,2025-06-09,15.77,16.65
TASK_81208,Immediate action required: Payment system down.,Critical,2025-07-06,user_37,In Progress,2025-06-01,10.77,14.01
TASK_27901,Clean up old branches from repository.,Low,2025-08-02,user_40,In Progress,2025-05-29,2.18,2.63
TASK_15587,Refactor legacy module as per guidelines.,Medium,2025-06-21,user_59,Completed,2025-06-15,14.04,13.7
TASK_49196,High priority task: Resolve server outage now.,Critical,2025-08-07,user_9,To Do,2025-06-08,4.4,6.27
TASK_59887,Immediate action required: Payment system down.,Critical,2025-08-15,user_18,To Do,2025-05-28,11.09,12.33
TASK_85842,Improve UI consistency across all pages.,Low,2025-08-03,user_24,Completed,2025-05-29,7.41,10.6
TASK_91212,Database optimization needed before backup.,High,2025-07-17,user_92,In Progress,2025-05-25,6.35,9.3
TASK_94332,Update user avatars with new icons.,Low,2025-07-30,user_30,In Progress,2025-05-23,9.38,9.76
TASK_99637,Complete documentation for current sprint.,Medium,2025-06-20,user_99,To Do,2025-06-08,11.57,10.29
TASK_20367,Database optimization needed before backup.,High,2025-07-03,user_85,Completed,2025-06-10,3.38,5.52
TASK_78998,Coordinate with design team on layout feedback.,Medium,2025-07-05,user_46,Completed,2025-06-16,12.09,10.11
TASK_48303,URGENT: System failure requires immediate attention.,Critical,2025-07-12,user_53,In Progress,2025-06-10,3.61,7.53
TASK_29596,Database optimization needed before backup.,High,2025-07-09,user_100,Completed,2025-06-02,9.66,8.58
TASK_14600,Client report must be submitted by evening.,High,2025-08-06,user_27,,2025-06-04,2.6,1.38
TASK_73077,,High,2025-07-17,,Completed,2025-06-07,11.65,11.54
TASK_39265,Improve UI consistency across all pages.,Low,2025-07-20,user_17,,2025-06-13,6.41,5.15
TASK_79963,Critical bug in production impacting all users.,Critical,2025-08-07,user_93,Completed,2025-05-29,12.46,12.96
TASK_35338,Conduct mid-cycle review of project progress.,Medium,2025-08-03,user_44,In Progress,2025-06-03,7.09,9.82
TASK_16065,Update user avatars with new icons.,Low,2025-08-07,user_95,Completed,2025-06-11,13.0,13.08
TASK_76029,,Critical,2025-07-09,user_65,To Do,2025-05-30,10.38,13.59
TASK_44312,Improve UI consistency across all pages.,Low,2025-08-15,user_61,To Do,2025-05-28,12.79,13.51
TASK_73647,Immediate action required: Payment system down.,Critical,2025-08-10,user_93,To Do,2025-06-03,11.35,11.7
TASK_50386,Complete documentation for current sprint.,Medium,2025-08-12,user_6,To Do,2025-05-27,14.63,16.84
TASK_57153,Prepare for upcoming product launch this week.,High,2025-07-09,user_10,In Progress,2025-05-25,10.73,12.93
TASK_26791,,Medium,2025-07-06,user_67,Completed,2025-06-07,2.94,2.98
TASK_82587,Task needs completion before end of the day.,High,2025-07-06,user_98,In Progress,2025-06-14,14.34,16.54
TASK_70361,Database optimization needed before backup.,High,2025-07-03,user_74,Completed,2025-05-23,8.7,9.41
TASK_76894,Code review required urgently for merge.,High,2025-06-19,user_71,Completed,2025-05-27,7.15,7.96
TASK_20860,Update user avatars with new icons.,Low,2025-08-04,user_46,,2025-06-08,6.16,8.19
TASK_53573,Clean up old branches from repository.,Low,2025-07-19,user_89,Completed,2025-06-17,8.45,6.47
TASK_24454,Coordinate with design team on layout feedback.,Medium,2025-07-26,user_27,To Do,2025-06-04,7.16,9.69
TASK_20717,Organize code comments and improve readability.,Low,2025-07-22,user_19,Completed,2025-05-26,12.91,14.03
TASK_60600,Update user avatars with new icons.,Low,2025-06-30,user_34,To Do,2025-05-30,14.18,16.24
TASK_63267,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-07-18,,In Progress,2025-06-07,13.89,15.3
TASK_96978,Client report must be submitted by evening.,High,2025-07-27,user_28,To Do,2025-05-28,9.9,11.31
TASK_43447,Code review required urgently for merge.,High,2025-06-29,user_4,In Progress,2025-05-24,11.91,12.64
TASK_74910,Improve UI consistency across all pages.,Low,2025-06-21,user_97,,2025-06-09,7.59,5.85
TASK_85915,Improve UI consistency across all pages.,Low,2025-07-28,user_26,To Do,2025-06-05,10.43,12.35
TASK_47772,Organize code comments and improve readability.,Low,2025-07-05,user_1,In Progress,2025-06-07,6.78,8.67
TASK_16530,Complete documentation for current sprint.,Medium,2025-07-02,user_45,Completed,2025-06-15,13.01,15.38
TASK_48042,High priority task: Resolve server outage now.,,2025-07-10,,To Do,2025-06-17,5.69,7.28
TASK_90789,Coordinate with design team on layout feedback.,Medium,2025-08-10,user_3,Completed,2025-05-29,9.83,10.3
TASK_27583,Database optimization needed before backup.,High,2025-08-15,user_88,Completed,2025-06-06,4.43,4.02
TASK_17835,Improve UI consistency across all pages.,Low,2025-07-01,,In Progress,2025-06-09,4.98,3.38
TASK_54790,Refactor legacy module as per guidelines.,Medium,2025-07-20,user_87,Completed,2025-06-07,8.43,12.07
TASK_10283,URGENT: System failure requires immediate attention.,Critical,2025-07-18,user_40,To Do,2025-05-20,2.66,2.94
TASK_62409,High priority task: Resolve server outage now.,Critical,2025-08-03,user_78,Completed,2025-06-04,9.35,8.86
TASK_21280,Enhance logging for future debugging.,Low,2025-08-03,user_52,In Progress,2025-06-18,14.4,17.75
TASK_33316,Improve UI consistency across all pages.,Low,2025-08-11,user_91,Completed,2025-06-18,2.9,3.46
TASK_58874,Immediate action required: Payment system down.,Critical,2025-07-04,user_79,Completed,2025-06-04,5.95,4.55
TASK_72197,Refactor legacy module as per guidelines.,Medium,2025-07-26,user_81,Completed,2025-06-13,11.95,14.94
TASK_13204,Refactor legacy module as per guidelines.,Medium,2025-06-24,user_72,In Progress,2025-05-29,13.78,15.72
TASK_66897,Client report must be submitted by evening.,,2025-06-19,user_53,Completed,2025-06-03,10.72,12.59
TASK_15217,Immediate action required: Payment system down.,Critical,2025-08-12,user_26,In Progress,2025-06-09,3.54,2.85
TASK_86018,Clean up old branches from repository.,Low,2025-07-28,user_59,To Do,2025-06-03,15.88,15.13
TASK_11224,Client report must be submitted by evening.,High,2025-07-04,user_13,In Progress,2025-06-12,8.22,7.82
TASK_63280,Clean up old branches from repository.,Low,2025-07-30,user_36,In Progress,2025-05-28,12.55,14.22
TASK_61503,URGENT: System failure requires immediate attention.,Critical,2025-07-05,user_45,In Progress,2025-06-03,13.83,13.54
TASK_51653,High priority task: Resolve server outage now.,Critical,2025-07-09,user_23,In Progress,2025-06-06,9.93,8.19
TASK_65050,Code review required urgently for merge.,High,2025-08-01,user_79,Completed,2025-06-13,9.11,9.09
TASK_69935,Complete documentation for current sprint.,Medium,2025-06-24,user_61,In Progress,2025-06-10,4.49,4.4
TASK_12940,Database optimization needed before backup.,High,2025-06-29,user_99,In Progress,2025-05-30,6.8,10.46
TASK_93721,Improve UI consistency across all pages.,Low,2025-07-24,user_11,In Progress,2025-06-16,5.77,7.27
TASK_29063,,Medium,2025-07-11,user_96,Completed,2025-05-27,11.89,11.97
TASK_63447,Code review required urgently for merge.,High,2025-07-11,user_22,To Do,2025-06-10,5.52,8.85
TASK_53209,Client report must be submitted by evening.,High,2025-08-06,user_51,In Progress,2025-06-15,12.12,14.09
TASK_84434,Task needs completion before end of the day.,High,2025-07-05,user_23,Completed,2025-06-01,4.72,6.27
TASK_50817,Code review required urgently for merge.,High,2025-07-27,user_89,To Do,2025-06-07,12.76,11.57
TASK_82897,Update user avatars with new icons.,Low,2025-08-05,user_28,In Progress,2025-06-06,10.35,13.16
TASK_83382,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-08-15,user_39,In Progress,2025-05-30,2.32,0.79
TASK_77603,,Medium,2025-07-07,,To Do,2025-05-26,12.32,11.52
TASK_81416,Task needs completion before end of the day.,High,2025-07-10,user_96,Completed,2025-06-17,4.62,3.12
TASK_38113,URGENT: System failure requires immediate attention.,,2025-07-22,user_6,To Do,2025-06-01,2.35,5.89
TASK_51701,Complete documentation for current sprint.,Medium,2025-07-03,user_13,In Progress,2025-06-17,3.61,7.3
TASK_69479,Organize code comments and improve readability.,Low,2025-07-30,user_27,To Do,2025-05-30,11.54,14.49
TASK_76401,Clean up old branches from repository.,Low,2025-07-09,user_62,Completed,2025-06-06,8.33,8.8
TASK_85761,Critical bug in production impacting all users.,Critical,2025-06-27,user_77,Completed,2025-05-24,12.1,11.49
TASK_15812,Complete documentation for current sprint.,Medium,2025-07-20,user_80,To Do,2025-06-11,14.2,13.53
TASK_35917,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-07-17,user_70,In Progress,2025-05-23,11.52,14.71
TASK_85956,Organize code comments and improve readability.,Low,2025-07-09,user_98,To Do,2025-05-23,10.58,11.55
TASK_30317,Immediate action required: Payment system down.,Critical,2025-08-13,user_28,Completed,2025-06-17,10.59,14.54
TASK_38521,Clean up old branches from repository.,Low,2025-06-25,user_33,In Progress,2025-06-09,14.03,12.14
TASK_34254,Complete documentation for current sprint.,Medium,2025-06-20,user_89,In Progress,2025-06-05,11.43,14.43
TASK_27903,High priority task: Resolve server outage now.,,2025-07-14,user_60,In Progress,2025-05-23,4.43,4.33
TASK_18617,Update user avatars with new icons.,Low,2025-07-23,user_96,Completed,2025-06-12,6.1,4.66
TASK_46678,Refactor legacy module as per guidelines.,Medium,2025-07-13,user_12,In Progress,2025-06-03,3.35,1.41
TASK_70073,Complete documentation for current sprint.,Medium,2025-08-12,user_20,Completed,2025-05-30,4.44,3.25
TASK_99126,High priority task: Resolve server outage now.,Critical,2025-07-31,user_61,To Do,2025-06-12,13.68,16.6
TASK_67009,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-06-30,user_69,Completed,2025-05-23,7.27,5.92
TASK_50839,Database optimization needed before backup.,High,2025-07-25,user_91,To Do,2025-06-11,7.7,9.2
TASK_87371,Conduct mid-cycle review of project progress.,Medium,2025-06-21,user_63,,2025-06-04,11.77,13.1
TASK_88848,Schedule meeting with stakeholders next week.,Medium,2025-06-21,user_79,In Progress,2025-05-23,6.22,8.71
TASK_18013,,High,2025-07-10,user_40,In Progress,2025-05-31,3.58,7.49
TASK_69355,Clean up old branches from repository.,Low,2025-08-09,user_90,To Do,2025-05-23,5.09,7.47
TASK_66412,Complete documentation for current sprint.,Medium,2025-07-15,user_18,Completed,2025-06-06,6.92,5.07
TASK_86478,Complete documentation for current sprint.,Medium,2025-07-05,user_96,In Progress,2025-06-05,8.53,7.14
TASK_15502,,Medium,2025-06-29,user_71,To Do,2025-05-21,3.83,5.61
TASK_10745,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-08-11,user_64,To Do,2025-06-18,8.28,11.76
TASK_14864,Complete documentation for current sprint.,Medium,2025-07-01,user_31,To Do,2025-06-04,9.31,11.42
TASK_92262,Database optimization needed before backup.,High,2025-08-14,user_50,Completed,2025-05-22,8.51,10.54
TASK_50294,Critical bug in production impacting all users.,Critical,2025-07-22,user_93,In Progress,2025-06-08,9.7,12.86
TASK_74988,Prepare for upcoming product launch this week.,High,2025-06-30,user_58,Completed,2025-06-14,6.74,6.86
TASK_37844,Update user avatars with new icons.,Low,2025-07-23,user_63,In Progress,2025-06-15,5.9,5.59
TASK_40759,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-08-11,user_87,In Progress,2025-05-20,3.17,3.89
TASK_31986,Immediate action required: Payment system down.,Critical,2025-06-30,user_97,Completed,2025-06-17,4.15,4.66
TASK_97490,URGENT: System failure requires immediate attention.,Critical,2025-06-23,user_29,Completed,2025-06-18,3.16,3.83
TASK_71438,Organize code comments and improve readability.,Low,2025-06-23,user_58,To Do,2025-05-26,15.62,14.83
TASK_62716,Improve UI consistency across all pages.,Low,2025-07-03,,Completed,2025-06-16,4.62,5.84
TASK_83551,Update user avatars with new icons.,Low,2025-07-23,user_24,In Progress,2025-05-31,5.44,4.08
TASK_58124,URGENT: System failure requires immediate attention.,Critical,2025-06-30,user_26,In Progress,2025-06-01,4.32,8.17
TASK_54091,Critical bug in production impacting all users.,Critical,2025-06-27,user_31,To Do,2025-06-05,15.07,16.44
TASK_38448,Organize code comments and improve readability.,Low,2025-07-28,user_18,To Do,2025-06-18,14.55,14.63
TASK_39525,,Medium,2025-08-04,,To Do,2025-06-09,3.13,6.52
TASK_78513,Schedule meeting with stakeholders next week.,,2025-06-29,user_55,In Progress,2025-06-09,14.22,14.5
TASK_83534,High priority task: Resolve server outage now.,Critical,2025-06-29,user_40,,2025-05-21,4.59,6.92
TASK_14609,High priority task: Resolve server outage now.,Critical,2025-07-26,user_23,Completed,2025-06-14,15.09,13.79
TASK_98274,,High,2025-08-08,user_36,,2025-05-30,7.26,10.99
TASK_31748,Clean up old branches from repository.,Low,2025-07-06,user_84,To Do,2025-05-29,2.66,3.46
TASK_89469,Code review required urgently for merge.,High,2025-06-27,user_50,In Progress,2025-06-14,15.19,13.22
TASK_71910,Schedule meeting with stakeholders next week.,Medium,2025-06-20,user_34,In Progress,2025-06-10,7.19,7.7
TASK_69523,Clean up old branches from repository.,Low,2025-07-20,user_31,To Do,2025-06-13,8.32,11.93
TASK_87802,Code review required urgently for merge.,High,2025-07-29,user_71,In Progress,2025-06-14,2.08,3.61
TASK_96308,Refactor legacy module as per guidelines.,Medium,2025-08-03,user_69,Completed,2025-06-11,6.48,8.74
TASK_67252,Client report must be submitted by evening.,,2025-07-22,user_53,In Progress,2025-06-01,9.03,11.16
TASK_17582,Schedule meeting with stakeholders next week.,Medium,2025-08-07,user_78,To Do,2025-05-27,5.79,7.86
TASK_78132,Improve UI consistency across all pages.,Low,2025-07-23,user_18,In Progress,2025-05-31,15.9,13.98
TASK_88726,Immediate action required: Payment system down.,Critical,2025-08-06,user_99,To Do,2025-05-27,9.22,9.94
TASK_18677,Schedule meeting with stakeholders next week.,Medium,2025-07-06,user_17,Completed,2025-06-07,12.33,11.72
TASK_87224,URGENT: System failure requires immediate attention.,Critical,2025-06-26,user_32,In Progress,2025-06-15,9.67,8.47
TASK_18503,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-07-16,user_4,Completed,2025-05-22,5.11,4.93
TASK_82070,Enhance logging for future debugging.,Low,2025-07-14,user_7,Completed,2025-05-29,3.61,3.51
TASK_46202,Client report must be submitted by evening.,High,2025-07-05,user_73,In Progress,2025-05-25,6.11,5.38
TASK_88177,Code review required urgently for merge.,High,2025-07-24,user_3,Completed,2025-06-10,2.91,1.36
TASK_65472,Client report must be submitted by evening.,High,2025-07-25,user_90,To Do,2025-06-18,5.85,9.16
TASK_87430,Update user avatars with new icons.,Low,2025-08-10,user_75,In Progress,2025-06-02,10.33,11.41
TASK_98960,Task needs completion before end of the day.,High,2025-06-27,user_65,To Do,2025-05-22,7.76,11.2
TASK_26681,URGENT: System failure requires immediate attention.,Critical,2025-07-14,user_25,To Do,2025-05-23,3.77,2.23
TASK_22809,,High,2025-07-28,user_86,To Do,2025-05-24,4.51,3.25
TASK_84864,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-07-09,user_9,Completed,2025-05-26,10.05,10.3
TASK_76480,Client report must be submitted by evening.,,2025-08-07,user_44,To Do,2025-05-21,9.79,13.4
TASK_28500,Refactor legacy module as per guidelines.,Medium,2025-08-14,user_43,In Progress,2025-06-07,3.29,1.61
TASK_72909,Enhance logging for future debugging.,Low,2025-08-02,user_63,Completed,2025-05-30,5.97,4.96
TASK_36529,Critical bug in production impacting all users.,Critical,2025-08-06,user_76,In Progress,2025-06-11,14.57,15.85
TASK_21793,Prepare for upcoming product launch this week.,High,2025-07-05,user_55,In Progress,2025-06-15,12.93,15.67
TASK_77667,Organize code comments and improve readability.,Low,2025-07-17,user_49,In Progress,2025-06-08,9.15,7.54
TASK_86556,,Critical,2025-06-25,user_79,Completed,2025-05-20,5.84,4.15
TASK_23055,Improve UI consistency across all pages.,Low,2025-07-11,user_63,Completed,2025-06-09,9.87,11.19
TASK_63253,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-08-03,user_40,To Do,2025-06-05,2.35,1.48
TASK_23053,Improve UI consistency across all pages.,Low,2025-07-15,user_95,Completed,2025-05-21,9.3,7.93
TASK_30607,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-06-21,user_77,Completed,2025-06-10,2.39,4.7
TASK_26692,Code review required urgently for merge.,High,2025-07-04,user_61,In Progress,2025-06-14,10.51,11.7
TASK_96707,Improve UI consistency across all pages.,Low,2025-07-28,user_37,To Do,2025-05-30,15.35,13.67
TASK_26521,Conduct mid-cycle review of project progress.,Medium,2025-07-11,user_46,In Progress,2025-06-15,3.33,1.54
TASK_98679,Enhance logging for future debugging.,Low,2025-08-14,user_69,In Progress,2025-05-26,2.18,3.4
TASK_74440,Coordinate with design team on layout feedback.,Medium,2025-06-27,user_31,Completed,2025-06-14,5.31,6.56
TASK_16522,Organize code comments and improve readability.,Low,2025-07-19,user_53,Completed,2025-06-16,11.68,13.67
TASK_68693,Schedule meeting with stakeholders next week.,Medium,2025-06-20,user_31,To Do,2025-06-04,2.12,2.82
TASK_22159,,Medium,2025-06-28,user_12,To Do,2025-05-25,15.55,17.24
TASK_76443,Enhance logging for future debugging.,Low,2025-06-23,user_43,Completed,2025-06-05,8.33,12.1
TASK_45197,Code review required urgently for merge.,High,2025-07-28,user_73,To Do,2025-06-03,14.02,13.58
TASK_19293,Organize code comments and improve readability.,Low,2025-06-29,user_55,To Do,2025-06-03,3.72,1.92
TASK_99689,Conduct mid-cycle review of project progress.,Medium,2025-06-30,user_46,,2025-05-26,3.12,2.75
TASK_89079,Enhance logging for future debugging.,Low,2025-07-02,user_88,In Progress,2025-05-28,14.09,17.82
TASK_33448,,Critical,2025-07-14,user_21,Completed,2025-05-26,14.57,15.49
TASK_95927,Enhance logging for future debugging.,Low,2025-06-26,user_42,In Progress,2025-06-03,2.69,2.16
TASK_33786,Database optimization needed before backup.,High,2025-07-19,user_11,Completed,2025-05-31,13.57,12.23
TASK_28903,,Low,2025-07-31,user_28,Completed,2025-05-22,14.45,18.2
TASK_34430,Conduct mid-cycle review of project progress.,,2025-06-20,user_82,Completed,2025-05-25,12.22,15.08
TASK_59041,Task needs completion before end of the day.,High,2025-07-10,,In Progress,2025-06-01,12.66,14.21
TASK_25283,Complete documentation for current sprint.,Medium,2025-06-26,user_67,To Do,2025-05-31,12.95,16.14
TASK_91361,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-07-30,user_75,To Do,2025-06-03,5.72,8.47
TASK_23706,URGENT: System failure requires immediate attention.,Critical,2025-06-25,user_95,To Do,2025-06-02,13.15,15.91
TASK_17760,Refactor legacy module as per guidelines.,Medium,2025-08-09,user_10,In Progress,2025-06-06,13.69,14.61
TASK_12841,Schedule meeting with stakeholders next week.,Medium,2025-08-11,,,2025-06-07,9.41,9.33
TASK_26390,Task needs completion before end of the day.,High,2025-06-19,user_4,To Do,2025-05-31,12.47,10.93
TASK_44237,Conduct mid-cycle review of project progress.,Medium,2025-08-16,user_23,To Do,2025-06-17,6.31,9.29
TASK_25425,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-07-05,user_93,To Do,2025-05-24,10.99,14.15
TASK_42548,Task needs completion before end of the day.,High,2025-08-01,user_94,Completed,2025-05-26,7.36,5.88
TASK_32495,Complete documentation for current sprint.,Medium,2025-06-23,user_31,Completed,2025-06-14,9.69,9.51
TASK_37509,Enhance logging for future debugging.,Low,2025-08-12,user_74,Completed,2025-06-08,13.86,16.24
TASK_17028,Organize code comments and improve readability.,Low,2025-08-11,user_1,In Progress,2025-06-10,5.88,6.54
TASK_64580,Database optimization needed before backup.,High,2025-08-09,user_49,,2025-06-08,2.6,2.48
TASK_67362,Immediate action required: Payment system down.,Critical,2025-06-24,user_21,In Progress,2025-06-14,2.2,0.41
TASK_58614,Client report must be submitted by evening.,High,2025-08-14,user_59,Completed,2025-05-31,11.46,11.65
TASK_36811,High priority task: Resolve server outage now.,Critical,2025-07-29,user_23,To Do,2025-06-07,8.98,8.31
TASK_19848,Emergency: Security breach needs to be fixed ASAP.,Critical,2025-08-03,user_81,Completed,2025-05-26,5.99,6.92
TASK_26312,Schedule meeting with stakeholders next week.,Medium,2025-07-25,user_60,Completed,2025-05-26,11.96,10.9
TASK_93117,Client report must be submitted by evening.,,2025-07-06,user_84,In Progress,2025-05-22,4.89,8.71
TASK_31206,Client report must be submitted by evening.,High,2025-07-11,user_95,In Progress,2025-06-07,12.59,11.0
TASK_15647,Client report must be submitted by evening.,High,2025-07-28,user_65,In Progress,2025-06-15,10.68,12.75
TASK_38388,Update user avatars with new icons.,Low,2025-08-12,user_60,To Do,2025-05-25,6.4,7.15
TASK_71216,Critical bug in production impacting all users.,Critical,2025-07-25,user_59,Completed,2025-06-13,2.78,5.74
TASK_63251,Improve UI consistency across all pages.,Low,2025-06-27,,Completed,2025-06-05,7.63,10.69
TASK_74112,Conduct mid-cycle review of project progress.,Medium,2025-07-22,user_74,To Do,2025-05-25,13.21,11.8
TASK_41823,Database optimization needed before backup.,High,2025-07-05,,To Do,2025-06-16,11.66,13.12
TASK_85987,Organize code comments and improve readability.,Low,2025-08-11,user_80,In Progress,2025-06-17,5.8,8.49
TASK_64508,Task needs completion before end of the day.,High,2025-08-10,user_24,To Do,2025-05-28,14.83,14.79
TASK_94242,Improve UI consistency across all pages.,Low,2025-07-05,user_76,In Progress,2025-06-15,3.95,2.48
