task_id,task_description,priority,deadline,assigned_to,status,created_at,estimated_hours,actual_hours
TASK_00118,anything add all production feel imagine respond director. thanks!,Medium,2025-07-02,user_80,Blocked,2025-05-23,12.413316725190255,15.237224982085504
TASK_00119,exactly theory environment remain relationship sell.,High,2025-05-28,user_10,Done,2025-04-22,1.0,-0.8445591047242031
TASK_00120,,Medium,2025-06-12,user_85,In Progress,2025-05-04,9.32937977291699,7.998308173032729
TASK_00121,leader building among radio pull congress question account minute.,High,2025-05-12,user_30,Done,2025-04-17,12.03788410330646,14.149375367017234
TASK_00122,keep without himself work debate end.,High,2025-07-07,,In Progress,2025-06-03,4.416101935550366,6.760886284206213
TASK_00123,source next support letter smile dog quickly either significant card think pm identify sometimes.,Medium,2025-05-13,user_62,To Do,2025-05-07,8.259871175078851,11.644976106941034
TASK_00124,political movement consumer scientist spend identify very sometimes surface. !!!,High,2025-05-20,user_2,To Do,2025-05-07,5.848132538911087,6.277964587711021
TASK_00125,receive history where door generation left southern.,Medium,2025-06-11,user_5,Blocked,2025-04-13,3.2889416625461934,3.960934732146172
TASK_00126,century real operation film air drug notice hotel music billion almost throughout should type anything hundred step.,Low,2025-06-18,user_35,In Progress,2025-05-19,11.324324646194597,11.197191382547087
TASK_00127,especially to next example more environmental major surface reach. !!!,High,2025-06-24,user_81,To Do,2025-05-23,5.8679309771957735,5.132742518342513
TASK_00128,,Medium,2025-06-28,user_82,To Do,2025-06-01,11.906087218638291,14.108363596810346
TASK_00129,still customer voice member mother though start environment style actually reduce key.,Low,2025-06-01,user_37,Blocked,2025-05-08,5.7142688505314325,3.872628796120571
TASK_00130,when task interview second ten movie fact size hope bar hour necessary order training.,High,2025-05-31,user_37,Done,2025-04-15,4.946777671143781,6.220139079141882
TASK_00131,how by turn everything something surface act recent cause rich security ready community wind message score growth.,Low,2025-06-04,user_6,Blocked,2025-05-03,8.207680165816594,8.750300244113156
TASK_00132,study yard answer four center mission.,Low,2025-05-17,user_15,In Progress,2025-04-15,7.368928256791071,6.755453070253183
TASK_00133,family writer than environment. !!!,,2025-06-06,user_75,In Progress,2025-05-16,14.654863457341776,14.87400866541232
TASK_00134,program here item hundred raise past democrat stay your.,High,2025-05-29,,In Progress,2025-05-06,5.045099519028982,4.55252921477068
TASK_00135,consider teach different sea maintain yes should. please do it asap,High,2025-05-19,user_65,Done,2025-04-10,4.750668288199544,6.156588345732249
TASK_00136,trial civil leave even approach mind huge performance reduce coach character firm size financial.,Medium,2025-06-15,user_26,Blocked,2025-05-21,7.251282678586676,6.23530248539064
TASK_00137,class number building people nor.,Medium,2025-04-23,,To Do,2025-04-20,10.215860534609222,12.886876595104017
TASK_00138,cut could great young actually.,Low,2025-05-30,user_19,Done,2025-05-06,2.774877028526501,4.293201697733076
TASK_00139,eight recognize gun discuss control picture minute area less full different half throughout production seem system figure wind.,Medium,2025-07-02,user_30,To Do,2025-06-03,6.221970922302102,3.8879920613711807
TASK_00140,subject beautiful media away water box cause win. please do it asap,Low,2025-05-15,,To Do,2025-04-10,7.4271985401141905,10.101950549439955
TASK_00141,most mouth again water threat everybody region very information remain.,Low,2025-05-02,user_65,To Do,2025-04-10,11.102132310686134,8.482470886774301
TASK_00142,bad author box skin decision move court reduce everybody get return popular.,Low,2025-07-04,user_98,In Progress,2025-05-27,6.733215468525803,7.6624099606884535
TASK_00143,drive dog difficult clearly move drug lose particularly little name war.,Medium,2025-05-17,user_46,In Progress,2025-04-10,7.782918927125637,9.7423256125268
TASK_00144,expert face need sit instead rich occur government.,High,2025-06-16,user_27,Blocked,2025-05-12,8.62225909726412,13.887083043360871
TASK_00145,large son century company stuff policy. 🔥,High,2025-04-28,user_67,Done,2025-04-17,2.9236251473932313,3.4823246502129135
TASK_00146,eight tree certain give as body study by save member father. <br>,Critical,2025-04-23,user_38,Blocked,2025-04-21,9.574524263890295,6.860792046199927
TASK_00147,should model section young perform throw although back hear throughout.,Low,2025-06-01,user_8,To Do,2025-04-18,4.659442350292351,5.569702416161794
TASK_00148,build read buy paper hard then my find sure may.,Low,2025-06-18,user_1,To Do,2025-04-20,7.630248840247269,7.535630092388065
TASK_00149,where whose we until pretty election set factor.,Low,2025-05-14,user_89,To Do,2025-04-25,10.027075593764563,9.107947017520239
TASK_00150,ago front relate particularly president decide about.,Medium,2025-06-08,user_43,To Do,2025-04-28,7.82940251654761,8.409357228397587
TASK_00151,trip agreement bag election believe pass past prepare sing would cell. <br>,Critical,2025-05-23,user_89,Blocked,2025-05-01,7.229669430261643,10.477080997692832
TASK_00152,property director sometimes positive offer apply government open important whom.,Low,2025-05-11,user_35,To Do,2025-04-13,7.997118090498188,8.077056736708144
TASK_00153,thought state education picture edge.,Low,2025-06-26,user_21,To Do,2025-05-15,10.430880968338748,8.422329658807893
TASK_00154,on rather president tell worker chair role claim stop. please do it asap,Low,2025-05-06,user_27,Done,2025-05-04,10.479762449721102,10.308625728046708
TASK_00155,past yes strategy nature focus.,Medium,2025-05-26,user_71,To Do,2025-05-02,8.61309737740154,9.18876297084245
TASK_00156,soon vote simply their according candidate kid center lay art kind laugh keep wide send yourself assume test each. asap,High,2025-05-27,user_81,Blocked,2025-05-08,5.55636039998476,7.236785812464555
TASK_00157,bank rule company country if probably.,Low,2025-06-25,user_82,In Progress,2025-05-04,10.033377927415241,12.414865965218375
TASK_00158,notice since assume information audience big a effect.,Medium,2025-05-09,user_87,,2025-04-21,7.08404488683263,7.4073818922518715
TASK_00159,low would worker result mention ask lose able actually.,,2025-05-12,user_59,In Progress,2025-05-03,7.961328654492433,10.818134883727069
TASK_00160,leave close unit past low production attack city.,Low,2025-07-03,,Done,2025-05-30,7.159016060190401,4.783247795386036
TASK_00161,adult democratic process along bar form stay center never send hundred meeting truth wish miss receive court identify trouble.,Medium,2025-05-25,user_74,To Do,2025-05-07,8.580655027263095,8.982131467747498
TASK_00162,energy us child catch chance yes water who.,Medium,2025-05-14,user_93,Blocked,2025-04-18,2.8332142972435586,3.6090100555192772
TASK_00163,entire accept far modern medical little first number meet.,Medium,2025-07-14,user_19,To Do,2025-05-22,10.129474618333573,6.616998908330881
TASK_00164,walk discussion moment election thing system page any the very. thanks!,Low,2025-06-02,user_31,In Progress,2025-05-09,13.749377113045842,14.534853679353672
TASK_00165,sport same involve get. <br>,,2025-05-15,user_51,To Do,2025-05-10,1.2353154812100176,-1.6681971444950254
TASK_00166,shake notice protect offer candidate paper three career.,Low,2025-05-14,user_94,In Progress,2025-04-11,2.382911314176024,4.647014118431626
TASK_00167,,High,2025-06-13,user_10,In Progress,2025-05-28,6.896102190925537,6.628301295505831
TASK_00168,fly here soldier deal election his.,High,2025-06-13,,In Progress,2025-05-30,9.613335543756055,4.594536965284639
TASK_00169,drop expert economic million simple visit like card himself vote cell fire create.,Low,2025-05-23,user_31,In Progress,2025-05-01,6.8695418911065325,7.288561679590363
TASK_00170,myself person bank decide turn analysis anything allow right body become move will measure free.,Medium,2025-05-25,user_62,To Do,2025-04-16,7.30562655073666,6.568235923114456
TASK_00171,focus guess fly now choose best themselves tend cup remember movement effect.,High,2025-07-13,user_81,Done,2025-05-21,9.056380068914905,7.538275497682076
TASK_00172,meeting ok strategy none activity.,Medium,2025-04-23,user_7,In Progress,2025-04-21,7.659617602688099,3.454574097754028
TASK_00173,sell when table true special kind.,Medium,2025-06-01,user_25,In Progress,2025-05-06,2.7955910015136345,-2.7862790734459733
TASK_00174,discuss better run mother knowledge stay bed party trial present commercial kind he number think interest shoulder.,,2025-05-25,user_54,To Do,2025-04-10,8.446912246454325,7.024318100624556
TASK_00175,test theory senior offer in style baby save stay reveal create government unit.,High,2025-07-02,user_30,Done,2025-05-21,8.754211653639487,10.11856414777826
TASK_00176,better bring either likely power money wind fight care first.,Medium,2025-05-25,user_75,In Progress,2025-05-03,7.463343924032986,6.273044562306879
TASK_00177,discover agreement cut share happen. !!!,Low,2025-07-22,user_73,To Do,2025-05-24,1.0,1.4629506428978862
TASK_00178,turn politics sense stage be another eight listen tonight trip team its attorney line like. 🔥,Medium,2025-07-09,user_83,Done,2025-05-13,8.052913676748718,9.768368448206267
TASK_00179,should husband we nor.,Medium,2025-04-15,user_57,Done,2025-04-11,7.264158811141103,10.498505453901632
TASK_00180,business story piece top rather.,High,2025-07-10,user_62,Blocked,2025-05-24,9.748086520250073,8.015974168068649
TASK_00181,choose imagine begin capital many soon road speech onto. asap,High,2025-07-10,user_10,In Progress,2025-05-27,4.071584764947822,5.463639506720201
TASK_00182,pass life near past management season.,High,2025-05-13,user_79,,2025-04-23,8.51110942943262,6.849904875274843
TASK_00183,analysis security challenge power let act son time across pay season then miss.,High,2025-05-28,user_35,In Progress,2025-05-13,8.779506480344635,4.318901073808622
TASK_00184,different meeting maybe cost every power those system dream baby very his kind. asap,High,2025-06-20,user_12,To Do,2025-05-15,11.508517201219933,8.79176661211433
TASK_00185,safe although girl only son. 🔥,Medium,2025-05-29,user_21,To Do,2025-05-21,10.076368804749558,12.538545933937604
TASK_00186,friend gas interesting right recognize approach mission.,Medium,2025-07-13,user_33,To Do,2025-06-02,8.327673389827666,8.880986179640997
TASK_00187,hear wind continue special wear a tax seat ground some four something prepare explain strategy.,High,2025-06-26,user_88,To Do,2025-05-23,11.406712223694415,9.690663251403208
TASK_00188,increase hot direction better image citizen a early development arm worker window.,,2025-05-20,user_43,In Progress,2025-04-28,12.471549579704858,15.89700826667387
TASK_00189,teach group south also sport activity account remember seven thought point parent. thanks!,Medium,2025-05-29,user_97,Done,2025-04-22,10.331932490406961,13.060650923086854
TASK_00190,edge station today question customer letter how avoid investment might sport.,Critical,2025-04-30,user_87,To Do,2025-04-22,6.483171304437461,2.8552601859487705
TASK_00191,discussion front hand north page only old computer.,High,2025-06-23,user_22,To Do,2025-05-24,12.507533514888925,9.02339271137888
TASK_00192,window scientist interview tend style thus increase main by my.,,2025-04-29,user_61,Blocked,2025-04-17,3.951533401342294,2.0091035016287577
TASK_00193,also social food rock sister large keep open item away.,Medium,2025-06-25,user_1,To Do,2025-05-08,13.318592855758839,16.31836385710998
TASK_00194,themselves other structure character himself that election into political. thanks!,Low,2025-07-16,user_50,In Progress,2025-06-05,14.624290207634953,16.529934754090466
TASK_00195,public boy wrong available significant lead else ever recent improve.,Medium,2025-06-20,user_10,To Do,2025-05-15,5.970964891112299,2.352319151712536
TASK_00196,matter another radio step rock heavy one above necessary cold dinner.,Low,2025-06-04,user_33,To Do,2025-04-26,10.776971465847382,10.47149859210071
TASK_00197,understand despite explain fly old represent away reach.,High,2025-05-17,user_71,In Progress,2025-05-11,8.327495141233616,7.689537275031859
TASK_00198,state your debate sing lose begin beat during one.,High,2025-05-06,user_52,In Progress,2025-04-30,3.7051454732212994,7.224757262107858
TASK_00199,,High,2025-05-14,user_32,Blocked,2025-05-03,6.79862661902305,3.8575612572274096
TASK_00200,including some technology pick answer relate republican interview place.,Medium,2025-05-25,user_40,In Progress,2025-04-14,6.739813262138985,8.029717732881137
TASK_00201,mrs around cause spend evening. !!!,Medium,2025-06-05,user_54,In Progress,2025-04-10,7.6210117618571145,6.275642964403963
TASK_00202,executive fast really exactly those commercial own american six her lawyer foreign owner many. 🔥,Low,2025-06-04,user_1,To Do,2025-04-19,7.326244813872762,9.102932265050237
TASK_00203,important man single girl down.,Medium,2025-05-14,user_86,Blocked,2025-05-12,7.298238266514062,3.598020464136187
TASK_00204,film teacher whose office toward. thanks!,Medium,2025-06-17,user_67,To Do,2025-04-24,9.583361121775829,12.182481023155407
TASK_00205,recognize head southern short however television.,,2025-04-12,user_54,Blocked,2025-04-07,6.755477476624056,5.5671786638210685
TASK_00206,should once customer security our sign describe guess radio.,Medium,2025-05-07,user_73,In Progress,2025-05-02,12.201479166889136,16.554789892868047
TASK_00207,stay think account man seven season sound trial national management until paper girl successful.,High,2025-05-10,user_72,Blocked,2025-05-08,7.147082867542017,9.179986477167748
TASK_00208,music executive carry range eye a these level build subject class. !!!,Medium,2025-07-16,user_8,To Do,2025-05-26,10.638674282211973,9.688186700903941
TASK_00209,fast talk change south interesting.,Medium,2025-07-05,user_96,In Progress,2025-05-26,6.190596718848546,5.913829853989933
